2026-04-22 22:32:16.153966 | 127.0.0.1:49931 | GET http://example.com/ | example.com:80 | 2026-04-22 22:32:16.154004 | ERROR: BLOCKED
2026-04-22 22:32:34.196885 | 127.0.0.1:57180 | GET http://example.com/ | example.com:80 | 2026-04-22 22:32:34.196887 | ERROR: BLOCKED
2026-04-22 22:33:24.146445 | 127.0.0.1:57183 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-22 22:33:24.146449 | ERROR: BLOCKED
2026-04-22 22:33:48.225921 | 127.0.0.1:57185 | GET http://doesnotexist.invalid/ | doesnotexist.invalid:80 | 2026-04-22 22:33:48.225925 | ERROR: BLOCKED
2026-04-22 22:37:59.831270 | 127.0.0.1:63497 | GET http://example.com/ | example.com:80 | 2026-04-22 22:37:59.831288 | ERROR: BLOCKED
2026-04-22 22:39:58.436469 | 127.0.0.1:57451 | GET http://example.com/ | example.com:80 | 2026-04-22 22:39:58.436473 | ERROR: BLOCKED
2026-04-22 22:40:35.122902 | 127.0.0.1:57456 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-22 22:40:35.122906 | ERROR: BLOCKED
2026-04-22 22:44:15.372950 | 127.0.0.1:65291 | GET http://example.com/ | example.com:80 | 2026-04-22 22:44:15.372966 | ERROR: BLOCKED
2026-04-22 22:45:05.248753 | 127.0.0.1:65298 | GET http://doesnotexist.invalid/ | doesnotexist.invalid:80 | 2026-04-22 22:45:05.248756 | ERROR: BLOCKED
2026-04-22 22:49:47.262137 | 127.0.0.1:54052 | GET http://example.com/ | example.com:80 | 2026-04-22 22:49:47.262151 | ERROR: BLOCKED
2026-04-22 22:52:16.533540 | 127.0.0.1:58640 | GET http://example.com/ | example.com:80 | 2026-04-22 22:52:16.533565 | ERROR: 
2026-04-22 22:53:50.174758 | 127.0.0.1:51851 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-22 22:53:50.174761 | ERROR: 
2026-04-23 11:46:04.831984 | 127.0.0.1:58908 | GET http://example.com/ | example.com:80 | 2026-04-23 11:46:04.832001 | ERROR: 
2026-04-23 11:52:37.361832 | 127.0.0.1:50121 | GET http://httpbin.org/get | httpbin.org:80 | 2026-04-23 11:52:37.361841 | ERROR: 
2026-04-23 11:52:54.668223 | 127.0.0.1:50125 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-23 11:52:54.668227 | ERROR: 
2026-04-23 11:53:24.802681 | 127.0.0.1:50131 | GET http://example.com/ | example.com:80 | 2026-04-23 11:53:24.802716 | ERROR: 
2026-04-23 11:53:30.507079 | 127.0.0.1:54378 | GET http://httpbin.org/get | httpbin.org:80 | 2026-04-23 11:53:30.507083 | ERROR: 
2026-04-23 11:53:35.422692 | 127.0.0.1:54380 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-23 11:53:35.422696 | ERROR: 
2026-04-23 11:56:18.273371 | 127.0.0.1:62757 | GET http://example.com/ | example.com:80 | 2026-04-23 11:56:18.273376 | ERROR: 
2026-04-23 11:56:21.618186 | 127.0.0.1:62761 | GET http://httpbin.org/get | httpbin.org:80 | 2026-04-23 11:56:21.618190 | ERROR: 
2026-04-23 11:56:25.815525 | 127.0.0.1:58850 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-23 11:56:25.815528 | ERROR: 
2026-04-23 12:06:38.245987 | 127.0.0.1:60339 | GET http://doesnotexist.invalid/ | doesnotexist.invalid:80 | 2026-04-23 12:06:38.245993 | ERROR: [Errno 11001] getaddrinfo failed
2026-04-23 16:42:29.671950 | 127.0.0.1:52988 | GET http://google.com/ | google.com:80 | 2026-04-23 16:42:29.671982 | ERROR: 
2026-04-23 16:45:01.397872 | 127.0.0.1:55494 | GET http://facebook.com/ | facebook.com:80 | 2026-04-23 16:45:01.397876 | ERROR: BLOCKED
2026-04-23 16:52:43.377605 | 127.0.0.1:57187 | GET http://nonexistent12345.com/ | nonexistent12345.com:80 | 2026-04-23 16:52:43.377610 | ERROR: [Errno 11001] getaddrinfo failed
